error,taux,objectIds
type,17.78%,"o25196, o79442, o30283, o20478, o68300, o45260, o76764, o30517, o27074, o30651, o19226, o79452, o30802, o30360, o30776, o30275, o29987, o31055, o88220, o10078, o30060, o5988, o31032, o31121, o31060, o31109, o31132, o30856, o31158, o29991, o31108, o30832, o30305, o12458, o30398, o30411, o30265, o27839, o31058, o30322, o30761, o63158, o30308, o59186, o30959, o31136, o30518, o31352, o31244, o30506, o32011, o30877, o30027, o29932, o8383, o82974, o30699, o30867, o30538, o29934, o30847, o30045, o30698, o81108, o30141, o30922, o57622, o30212, o30059, o30911, o30762, o77264, o34872, o30735, o29967, o16740, o31171, o21159, o21410, o21354, o21426, o21390, o23555, o21250, o21286, o21322, o82978, o21246, o21270, o34871, o12454, o21262, o65730, o30001, o21394, o82144, o17127, o21230, o21418, o20463, o21382, o30745, o21439, o21187, o13403, o21191, o21386, o83133, o21222, o90944, o63004, o21223, o90970, o79008, o46322, o21128, o25423, o65826, o79009, o65418, o13020, o69215, o46393, o21120, o21126"
oneOf,4.27%,"o75109, o81530, o90946, o58632, o9817, o13129, o81746, o89218, o13131, o90967, o39084, o54613, o83760, o25768, o25771, o65943, o66069, o65945, o73926, o64819, o12174, o48041, o15172, o4237, o9779, o21819, o60883, o9911, o9914, o9917"
multipleOf,0.85%,"o89522, o89521, o46416, o74461, o89519, o55072"
required,34.57%,"o2058, o57232, o58209, o25969, o21083, o6178, o4834, o57603, o19070, o90889, o12290, o16041, o28187, o47150, o57452, o74410, o73983, o54542, o21100, o14478, o42021, o14479, o48873, o21093, o77739, o13, o10026, o17121, o21095, o63475, o5844, o66053, o65507, o76743, o14459, o51260, o24464, o84344, o33964, o35815, o83086, o13404, o41780, o13137, o13402, o27789, o24468, o42148, o55595, o85190, o64718, o74553, o79016, o54973, o16047, o9969, o42985, o19154, o5356, o13692, o5360, o5355, o89894, o35767, o5393, o89891, o70379, o25695, o84346, o47165, o74446, o5369, o78739, o89888, o90940, o5352, o5365, o77405, o70378, o71820, o19337, o10517, o89893, o8370, o5375, o5343, o89890, o54610, o55244, o5340, o65668, o5368, o5351, o5416, o70377, o5357, o5348, o83286, o5395, o5362, o39535, o64963, o5329, o5374, o5415, o79015, o5336, o5399, o5419, o5353, o5407, o5366, o5396, o5398, o74445, o5341, o5417, o72247, o83993, o71566, o47675, o12457, o33933, o10293, o5389, o10296, o5400, o61349, o73831, o44946, o5408, o3925, o26219, o81652, o14495, o78081, o5409, o73817, o89710, o65670, o5391, o15197, o5411, o78043, o5387, o5384, o12453, o33131, o66693, o61535, o3895, o43345, o91595, o90895, o22, o39444, o58661, o82258, o21294, o21290, o40360, o67273, o21780, o14528, o21258, o62947, o21, o21427, o69888, o21263, o72528, o21331, o2070, o48094, o21442, o21272, o21264, o20, o21203, o21391, o80302, o21211, o21395, o21243, o84200, o44859, o21299, o40454, o21392, o62820, o21227, o21231, o21157, o77317, o21240, o21310, o21388, o4826, o65671, o21396, o21320, o21176, o21356, o21276, o80235, o71475, o21280, o21364, o21284, o21169, o21197, o21292, o21260, o71471, o21412, o21256, o21323, o21228, o65673, o21232, o80208, o43189, o21304, o12653, o32934, o14078, o360, o21173, o18644, o21308, o70036, o65416, o359, o48425, o62897, o358, o58926, o10420, o69212, o35947, o69209, o69966, o9802"
readOnly,4.41%,"o10318, o84345, o19087, o25804, o58622, o36252, o41759, o68603, o68602, o68597, o70440, o68398, o68601, o25805, o55357, o68600, o55337, o55351, o27019, o70306, o55696, o25803, o84348, o25806, o64008, o69969, o18633, o77406, o5460, o70918, o69862"
anyOf,4.98%,"o2140, o76669, o12958, o21235, o21271, o21207, o21164, o21239, o21407, o21351, o21339, o21319, o21267, o21399, o21403, o21428, o21343, o21315, o21279, o21283, o21196, o21367, o21255, o21371, o21415, o21160, o21192, o21436, o21379, o21188, o21219, o21327, o21172, o21375, o57504"
minItems,3.27%,"o74408, o15725, o48421, o78738, o13110, o43017, o78021, o73933, o19336, o63302, o38538, o12972, o36016, o76785, o69248, o29388, o39210, o21216, o62922, o62912, o12652, o21376, o42992"
format,6.69%,"o9939, o58916, o58907, o12176, o78064, o6237, o9806, o9931, o1316, o58906, o9778, o17600, o71342, o17404, o58917, o7276, o69910, o6232, o9942, o84343, o32592, o42712, o69970, o82467, o23178, o90485, o14390, o9937, o26603, o55640, o83748, o91394, o43018, o26690, o71565, o37102, o45313, o89915, o6023, o81117, o39751, o17591, o42127, o78057, o21840, o41081, o44225"
additionalProperties,5.55%,"o17663, o5462, o43196, o27787, o27788, o78964, o74930, o61085, o83834, o76576, o69991, o72187, o75565, o43046, o68397, o46249, o68391, o61027, o36779, o84383, o65892, o65890, o65891, o68411, o6361, o6363, o6350, o6353, o6367, o6343, o6369, o6366, o6371, o6374, o21764, o48404, o10340, o38671, o63199"
not,0.57%,"o91584, o58453, o35867, o79022"
exclusiveMinimum,1.14%,"o44463, o58629, o53085, o44462, o5271, o5265, o5268, o72196"
pattern,2.42%,"o83161, o21142, o21074, o21076, o21073, o21072, o21075, o44959, o82273, o60770, o47262, o75605, o79409, o90980, o21136, o21135, o60185"
enum,3.41%,"o58619, o11667, o12175, o33192, o39150, o11666, o37649, o90939, o46658, o65425, o90832, o27039, o77316, o46762, o74466, o33032, o65415, o65429, o48781, o69206, o65420, o83932, o21121, o21127"
propertyNames,1.14%,"o90905, o90904, o84199, o39233, o12459, o32451, o12460, o67457"
maxItems,7.97%,"o21434, o21421, o21178, o21405, o21186, o21345, o21217, o21285, o21174, o21305, o4197, o21218, o21306, o21423, o21419, o21247, o21387, o21215, o74552, o21275, o21335, o21355, o21432, o21363, o21291, o21287, o21259, o21411, o74550, o21252, o21165, o21408, o21424, o21184, o21420, o21268, o21303, o21400, o21244, o21300, o21316, o21288, o21368, o21372, o21161, o21416, o21224, o21437, o21185, o21380, o21312, o21384, o21189, o21307, o21220, o21328"
unionType,0.43%,"o83677, o77403, o7515"
const,0.28%,"o17383, o29389"
dependencies,0.14%,o37789
exclusiveMaximum,0.14%,o21137
